,adolescent_obesity_2016,adolescent_overweight_2016,adolescent_thinness_2016
adolescent_obesity_2016,1.0,0.9550083743882957,-0.460976676246813
adolescent_overweight_2016,0.9550083743882957,1.0,-0.6174413009807143
adolescent_thinness_2016,-0.460976676246813,-0.6174413009807143,1.0
Fruit,0.20470736269420736,0.24876618654356192,-0.23554704167683946
Vegetables,0.06028103033459623,0.04544423686114765,0.01680280703404572
Legumes,0.10485430703024558,0.08998235387576048,0.09500459889752721
Nuts,0.020961130780116858,-0.016466037439711315,0.05376929509162214
Whole grains,-0.2525227639130413,-0.2215374332101208,0.11177189815559142
Fish,0.024735093951658547,0.0035273043601388664,0.02953437347583623
Dairy,0.25363431918563484,0.33980927980566966,-0.4486507007901265
Red meat,0.1518986198043495,0.22733492513606074,-0.361760421820361
GDP_capita_PPP_2016,0.28795366329610483,0.32374579532795233,-0.35943007142457994
190_percent_2016,-0.4972203254542166,-0.5176347420883628,0.3306381566246261
320_percent_2016,-0.5304183246356818,-0.5657255199875152,0.4525864335878671
gini_2016,-0.015115149839511,-0.06505367145735083,-0.09107422811050622
